label,ignition_lat,ignition_lon,ignition_time,timestep_index,datetime,elapsed_hours,wind_speed_mph,wind_dir_deg,temp_f,humidity_pct,weather_source,elevation_m,slope_pct,aspect_deg,fuel_model,canopy_cover_pct,canopy_height_m,canopy_base_m,canopy_density,fuel_depth_m,fuel_moist_1h,fuel_moist_10h,fuel_moist_100h,fuel_load_1h_kg_m2,fuel_load_10h_kg_m2,fuel_load_100h_kg_m2,fuel_sav_m2_m3,building_count,building_density_per_km2,avg_building_height_m,avg_building_width_m,avg_building_length_m,frac_wood_roof,frac_wood_siding,frac_combustable_deck,frac_closed_eaves,avg_vent_screens_in,frac_residential,frac_industrial,dominant_usage,bldg_building_radius_m,road_count,total_road_length_m,road_density_m_per_km2,nearest_road_m,frac_high_capacity,frac_residential_road,frac_paved,avg_road_width_m,avg_lanes,dominant_highway,road_road_radius_m
ignition_001,38.9014,-120.0306,2024-10-27T17:00:00+00:00,39,2024-10-28 12:30:00,19.5,10.0,246.0,34.7,100.0,open-meteo,2046.8358,18.4589,150.9806,144.0,1.0363,6.7598,3.2334,0.0746,,,,,,,,,609,48.46,5.7455,17.8736,16.9787,0.1084,0.6716,0.3186,0.3218,0.3752,0.9212,0.0082,Residential,2000,159,50479.9,4017.1,38.1,0.044,0.1132,0.2264,3.0,2.22,service,2000
ignition_001,38.9014,-120.0306,2024-10-27T17:00:00+00:00,40,2024-10-28 13:00:00,20.0,8.7,246.0,34.16,99.0,open-meteo,2046.8358,18.4589,150.9806,144.0,1.0363,6.7598,3.2334,0.0746,,,,,,,,,609,48.46,5.7455,17.8736,16.9787,0.1084,0.6716,0.3186,0.3218,0.3752,0.9212,0.0082,Residential,2000,159,50479.9,4017.1,38.1,0.044,0.1132,0.2264,3.0,2.22,service,2000
ignition_001,38.9014,-120.0306,2024-10-27T17:00:00+00:00,41,2024-10-28 13:30:00,20.5,8.7,246.0,34.16,99.0,open-meteo,2046.8358,18.4589,150.9806,144.0,1.0363,6.7598,3.2334,0.0746,,,,,,,,,609,48.46,5.7455,17.8736,16.9787,0.1084,0.6716,0.3186,0.3218,0.3752,0.9212,0.0082,Residential,2000,159,50479.9,4017.1,38.1,0.044,0.1132,0.2264,3.0,2.22,service,2000
ignition_001,38.9014,-120.0306,2024-10-27T17:00:00+00:00,42,2024-10-28 14:00:00,21.0,8.5,240.0,33.44,99.0,open-meteo,2046.8358,18.4589,150.9806,144.0,1.0363,6.7598,3.2334,0.0746,,,,,,,,,609,48.46,5.7455,17.8736,16.9787,0.1084,0.6716,0.3186,0.3218,0.3752,0.9212,0.0082,Residential,2000,159,50479.9,4017.1,38.1,0.044,0.1132,0.2264,3.0,2.22,service,2000
ignition_001,38.9014,-120.0306,2024-10-27T17:00:00+00:00,43,2024-10-28 14:30:00,21.5,8.5,240.0,33.44,99.0,open-meteo,2046.8358,18.4589,150.9806,144.0,1.0363,6.7598,3.2334,0.0746,,,,,,,,,609,48.46,5.7455,17.8736,16.9787,0.1084,0.6716,0.3186,0.3218,0.3752,0.9212,0.0082,Residential,2000,159,50479.9,4017.1,38.1,0.044,0.1132,0.2264,3.0,2.22,service,2000
ignition_001,38.9014,-120.0306,2024-10-27T17:00:00+00:00,44,2024-10-28 15:00:00,22.0,10.2,224.0,33.26,98.0,open-meteo,2046.8358,18.4589,150.9806,144.0,1.0363,6.7598,3.2334,0.0746,,,,,,,,,609,48.46,5.7455,17.8736,16.9787,0.1084,0.6716,0.3186,0.3218,0.3752,0.9212,0.0082,Residential,2000,159,50479.9,4017.1,38.1,0.044,0.1132,0.2264,3.0,2.22,service,2000
ignition_001,38.9014,-120.0306,2024-10-27T17:00:00+00:00,45,2024-10-28 15:30:00,22.5,10.2,224.0,33.26,98.0,open-meteo,2046.8358,18.4589,150.9806,144.0,1.0363,6.7598,3.2334,0.0746,,,,,,,,,609,48.46,5.7455,17.8736,16.9787,0.1084,0.6716,0.3186,0.3218,0.3752,0.9212,0.0082,Residential,2000,159,50479.9,4017.1,38.1,0.044,0.1132,0.2264,3.0,2.22,service,2000
ignition_001,38.9014,-120.0306,2024-10-27T17:00:00+00:00,46,2024-10-28 16:00:00,23.0,8.9,226.0,34.16,88.0,open-meteo,2046.8358,18.4589,150.9806,144.0,1.0363,6.7598,3.2334,0.0746,,,,,,,,,609,48.46,5.7455,17.8736,16.9787,0.1084,0.6716,0.3186,0.3218,0.3752,0.9212,0.0082,Residential,2000,159,50479.9,4017.1,38.1,0.044,0.1132,0.2264,3.0,2.22,service,2000
ignition_001,38.9014,-120.0306,2024-10-27T17:00:00+00:00,47,2024-10-28 16:30:00,23.5,8.9,226.0,34.16,88.0,open-meteo,2046.8358,18.4589,150.9806,144.0,1.0363,6.7598,3.2334,0.0746,,,,,,,,,609,48.46,5.7455,17.8736,16.9787,0.1084,0.6716,0.3186,0.3218,0.3752,0.9212,0.0082,Residential,2000,159,50479.9,4017.1,38.1,0.044,0.1132,0.2264,3.0,2.22,service,2000
ignition_001,38.9014,-120.0306,2024-10-27T17:00:00+00:00,48,2024-10-28 17:00:00,24.0,7.6,238.0,36.5,72.0,open-meteo,2046.8358,18.4589,150.9806,144.0,1.0363,6.7598,3.2334,0.0746,,,,,,,,,609,48.46,5.7455,17.8736,16.9787,0.1084,0.6716,0.3186,0.3218,0.3752,0.9212,0.0082,Residential,2000,159,50479.9,4017.1,38.1,0.044,0.1132,0.2264,3.0,2.22,service,2000
